page	ligne	col	lu	corrige	regle	vedette lue
553	39	0	o	s	initiale de section	ooireo
553	52	0	a	s	initiale de section	apiso
554	5	5	c	o	finale morphologique	splenc
554	19	6	c	o	finale morphologique	splirtc
554	35	6	c	o	finale morphologique	spondec
554	50	4	c	o	finale morphologique	sporc
555	16	0	a	s	initiale de section	aooto
555	47	0	g	s	initiale de section	gEualE
555	47	5	E	o	finale morphologique	gEualE
558	15	6	c	o	finale morphologique	staturc
558	18	6	c	o	finale morphologique	statutc
558	21	7	E	o	finale morphologique	stesrioE
558	48	5	c	o	finale morphologique	stelec
560	2	0	g	s	initiale de section	gterleto
563	9	4	c	o	finale morphologique	stric
565	19	2	b	o	finale morphologique	sub
565	33	7	c	o	finale morphologique	subjektc
565	40	6	s	o	finale morphologique	subliss
565	44	8	E	i	finale morphologique	sobserssE
566	7	0	d	s	initiale de section	dubmisionar
566	19	0	g	s	initiale de section	gubreto
568	7	4	I	r	finale morphologique	sugaI
570	43	0	a	s	initiale de section	aurmuleto
572	7	5	c	o	finale morphologique	suabrc
572	14	5	c	o	finale morphologique	esuobc
573	11	4	I	r	finale morphologique	tacaI
573	19	3	c	o	finale morphologique	takc
574	12	6	c	o	finale morphologique	talentc
574	44	5	c	o	finale morphologique	talusc
574	54	8	c	o	finale morphologique	tamarindc
576	16	7	c	o	finale morphologique	tapiokac
576	53	4	c	o	finale morphologique	tarjc
578	12	6	c	o	finale morphologique	tartanc
582	48	8	c	o	finale morphologique	teckratic
584	23	6	c	o	finale morphologique	terierc
584	37	6	c	o	finale morphologique	terninc
587	8	2	s	a	finale morphologique	tas
587	17	4	c	o	finale morphologique	tibic
587	23	6	c	o	finale morphologique	tifoidc
587	45	2	l	i	finale morphologique	til
589	52	9	s	a	finale morphologique	tirozimaas
590	32	5	c	o	finale morphologique	tizanc
593	11	9	c	o	finale morphologique	tormentilc
594	0	8	c	o	finale morphologique	tontikolc
595	9	11	c	o	finale morphologique	tragikomedic
596	48	4	s	o	finale morphologique	trans
600	23	3	v	e	finale morphologique	triv
600	46	6	c	o	finale morphologique	tribunc
602	22	7	c	o	finale morphologique	triplikc
603	2	8	c	o	finale morphologique	triumvirc
606	50	5	c	o	finale morphologique	tumorc
607	14	5	c	o	finale morphologique	tunikc
608	38	3	c	o	finale morphologique	tuyc
609	31	5	c	o	finale morphologique	ulcerc
610	3	0	o	u	initiale de section	oltrasdkrcskopio
610	19	0	n	u	initiale de section	nmmmoo
612	54	0	o	u	initiale de section	ortikario
612	24	10	P	o	finale morphologique	uretroskopP
614	20	6	q	o	finale morphologique	vacincq
614	54	6	c	o	finale morphologique	vakucuc
616	14	7	c	o	finale morphologique	vanitatc
616	25	6	c	o	finale morphologique	varangc
618	36	0	I	v	initiale de section	Iener
618	18	5	c	o	finale morphologique	velinc
619	45	4	c	o	finale morphologique	verbc
620	4	0	k	v	initiale de section	korda
621	21	5	c	o	finale morphologique	vertuc
621	35	10	c	o	finale morphologique	vesnertilic
622	12	10	q	o	finale morphologique	vaterirercq
622	42	7	c	o	finale morphologique	viaduktc
623	20	0	k	v	initiale de section	kidar
623	24	0	k	v	initiale de section	kidamo
623	28	0	k	v	initiale de section	kidva
623	34	0	k	v	initiale de section	kigilar
624	42	5	c	o	finale morphologique	vintrc
625	27	0	I	v	initiale de section	Iirtuala
625	47	0	k	v	initiale de section	kishar
625	51	0	k	v	initiale de section	kiskomto
626	24	4	c	o	finale morphologique	viulc
626	42	5	c	o	finale morphologique	vizajc
626	48	6	c	o	finale morphologique	vizierc
627	37	0	k	v	initiale de section	kolatila
628	29	5	E	o	finale morphologique	vclutE
628	48	8	c	o	finale morphologique	vomitoric
631	25	7	c	o	finale morphologique	zerofitc
632	6	4	c	o	finale morphologique	yaktc
632	36	2	s	a	finale morphologique	yes
634	50	10	c	o	finale morphologique	limosimetrc
