vedetto	fako	senci	nomi_latina	lingui	kodo	pagino	ligno	imago	drapeli
agendo		Registro, kayereto, di qua singla folio, qua indikas la dio-quantesmo di la monato, uzesas por notar sur lu to quon onu havas kom agenda.		germana,angla,franca,italiana,hispana	DEFIS	10	29	17	korektita
agento		La persono qua esas komisita pri agor vice la komisinto. DEFIRS.				10	33	17	sen-lingui,korektita
agitar	trans	Dis-movigar (liquido, la spiriti di publiko), sukusar omna-sinse.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	10	36	17	
aglo		I. (zool.)Rapt-ucelo jornala, di qua la regardo esas tre perceptiva ; la flugo, rapida ; la beko, tre forta, bazo- rekta, e kurvigita nur ye lua pinto. L. aquila. II. To quo +weras aglo kom emblemo (standardi, blazono, orden-insigno). ( EFIS.				10	39	17	sen-lingui,korektita
aglomerar	trans	Asemblar por formacar maso kompakta.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	10	45	17	korektita
aglosio	patol	Absenteso di la lango.				10	47	17	sen-lingui
aglutinar	trans	Interglutinar plura kozi tale ke li dive- nas una.		germana,angla,franca,italiana,hispana	DEFIS	10	49	17	
agnelo		Muton-yuno, en la senco religiala e poeziala.		franca,italiana,rusa	FIR	10	52	17	
agnoskar	trans	Lasar enirar sua spirito kom vera, valida, yusta, legale konstitucita. - L. v e.4L L				11	3	18	sen-lingui,korektita
agoniar	netrans	Esar la objekto di la lukto lasta da naturo kontre morto, en la korpo di vivanto.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	11	6	18	korektita
agorafobio		Pavoro morba, da ula personi, kande li devas trans- irar placo, strado, ponto.		angla,franca,italiana,rusa,hispana	EFIRS	11	9	18	
agosto		La monato okesma di la yaro kalendarala.				11	12	18	sen-lingui
agro		I.Tereno sen-tekta e plata, limitizita por uzeso parti- kulara. ¶ II. Tereno por kultivado, ne cirkondata da muri.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	11	14	18	korektita
agrafo		I. (arkitekt.) Krampono fera qua inter-adherigas la quadri di muro. ¶ II. (Vesto). Roketo metala qua uzesas por interjuntar la du bordi inter-opozanta di vesto, fixig- ita sur ica, ed eniranta ringo, fixigita sur ita.		germana,angla,franca,italiana,hispana	DEFIS	11	18	18	korektita,ordino-rompita
agreabla	ad	. Qua donas plezuro (ad ulu).		angla,franca,italiana,hispana	EFIS	11	23	18	
agregar	trans	I. Interunionar - por formacar ek li en- semblo - molekuli, partikuli materio. ¶ II. Unionar ad ensemblo, a korpo. ¶ III. (en la universitato di Francia) agregito : la persono qua, pro sucesir lor la konkurso pri Io, deklaresas kapabla pri docar en liceo, en fakultato. (Ta grado esas min alta kam doktoreso).		germana,angla,franca,italiana,rusa,hispana	DEFIRS	11	25	18	korektita
agrimonio	bot	Planto rozacea, kun mikra flori qui esas dispozita spike, olim uzita kom astriktivo.	agrimonia eupatoria	germana,angla,franca,italiana,hispana	DEFIS	11	32	18	korektita
agronomo		Persono experta pri la cienco "agrokultivo".		germana,angla,franca,italiana,rusa,hispana	DEFIRS	11	36	18	
agronomio		La cienco qua donas la reguli di agrokultivo.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	11	38	18	ordino-rompita
agulo		I. Stangeto ek stalo polisita, diqua un extremajo esas pinta, e la altra, obtuzigita, ed un-trua, por recevar filo. ¶ II. Mikra stango di qua un extremajo esas pinta. (Agulo di relvoyo : parti di reli movebla, uzata por igar la treni pasar bifurke de ca a ta relvoyo).		franca,italiana,hispana	FIS	11	41	18	korektita
ah		! Interjeciono qua indikas ke onu quik expresos emoco forta qua kaptis la psiko (joyo, doloro, iraco, e c.)				11	47	18	finalo-nekutima,sen-lingui,korektita
ailanto	bot	Planto ek la familio "nutacei".	Ailanthus			11	50	18	sen-lingui
-ajo		Sufixo qua indikas : I. Kozo facita ek ula materio, o qua posedas ta o ca karaktero (Ex.: lanajo, kotonajo, bonajo, bitrajo). ¶ II. (per extenso di la senco). Ago, parolo, procedo di... (amikalajo, pueralajo). ¶ III. (kun verbo transitiva) Indikas la objekto pasiva di la ago (cakaze, lu equivalas "-ata") (Ex.: manjajo : karno, pano, legumi) ; vidajo : kozo vidata. ¶ IV. (Kun verbo mixita) -ajo = a(ta)jo (Ex.: chanjajo : kozo chan- jata.) V. (Kun verbo netransitiva). Indikas la subjekto, ed equivalas -(ant)ajo (Ex. : rezultajo : to quo rezul- tas ; eventajo : to quo eventas). ajio. (banko-komerco)Profito de la difero inter la valoro nominala e la valoro reala di la moneto-peci - inter la valoro nuna e la preco lor la pagoteso di la valor-paperi, di la vari di qui la kurso varias.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	12	2	19	korektita,ordino-rompita
ajila		Di qua la movi esas flexebla, rapida.		angla,franca,italiana,hispana	EFIS	12	19	19	
ajiotar	netrans., pri	Spekular pri la valor-paperi, pri la vari, di qui la kursi esas variiva.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	12	21	19	korektita
ajornar	trans., til	. Rezolvar ke (ulo) agesos o facesos erste en ta o ca dio, vice nun.		angla,franca,italiana	EFI	12	24	19	
ajuro		I. (arkitekt.) Singla ek la mikra aperturi di ornament- ajo. ¶ II. (stofo) Quaza truo en broduro o dentelo.		germana,angla,franca	DEF	12	27	19	korektita
ajustar	trans	Intermuntar ed inter-harmoniigar la parti di mashino, di mekanismo, por atingar la skopo determinita.		angla,franca	EF	12	30	19	korektita
ajuto		Tubo adaptita a la orifico di fonteno, di recipiento, e c. por modifikar (pri lua volumo o lua formo) la fluo di la liquido.		angla,franca	EF	12	34	19	
akacio	bot	Genero de planti mimozea, di qui ula speci donas kachuo, glutino-gumo, e c. L. acacia vera.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	12	38	19	korektita
akademio		Societo literaturala, ciencala, artala, di qua la membri esas, generale, elektita e fixa-nombra, e qua ne docas.		germana,angla,franca,italiana,rusa,hispana	DEFIRS	12	41	19	korektita
akanto	bot	Planto bikotiledona, di qua la folii esas dent- oza.	acanthus	germana,angla,franca,italiana,rusa,hispana	DEFIRS	12	45	19	
		.akantino. (biol.)Substanco organika, albuminoza, solvebla en sal-aquo - ye qua konsistas la skeleto di ula radio- larii.				12	48	19	sen-vedetto,sen-lingui,korektita
akantonar	trans., en	. (milit.) Instalar la armeani en la loki diversa di teritorio ube li devas vivar dum kelka tempo.		germana,angla,franca,italiana,hispana	DEFIS	13	3	20	korektita
akaparar	trans	I. (ulo) Rezervigar por su, komprar la tota quanto de ta o ca varo qua ofresas vende en merkato. - Prenar por su ipsa, detrimente di la kunhomi. ¶ II. (ulu) (metaf.) Kaptar (lu) e ne lasar (lu) relatar kun la personi cetera.				13	7	20	sen-lingui,korektita
akaro	zool	Familio de insekti di qui la tipo esas L.acarus, kun korpo, generale, disko-forma e globatra, sen distingo tre preciza di abdomino de cefalotorako.		angla,franca,italiana,rusa,hispana,latina	EFIRSL	13	13	20	korektita
aklamar	trans	Aceptar per klami e krii de entuziasmo - agita da plura, multa, personi kune.		germana,angla,franca,italiana,hispana	DEFIS	13	17	20	
