page	ligne	col	lu	corrige	vedette lue	vedette retenue	precedente	suivante
443	24	4	o	c	petro	petrc	petonklo	petrelo
446	37	4	o	c	pinco	pincc	pinastro	pinchar
447	12	4	a	s	pintado	pintsdo	pinto	piocho
447	20	4	o	c	piono	pionc	piocho	pioniro
447	23	3	n	o	pioniro	piooiro	piono	pipo
447	27	3	o	c	pipo	pipc	pioniro	pipeto
450	48	9	o	c	planimetro	planimetrc	planeto	planimetrio
453	53	5	o	c	plevro	plevrc	pleuronekto	plevrito
455	13	3	s	m	pluspa	plumpa	plump	plunjar
456	2	1	c	o	pcdoido	podoido	pneumokoko	poemo
456	8	4	o	c	poeto	poetc	poemo	poetiko
459	27	4	o	e	ponto	ponte	ponsa	pontifiko
460	44	4	o	c	porko	porkc	porismo	porkespino
461	27	5	o	c	portuo	portuc	portreto	portulako
463	18	7	o	c	pragmato	pragmatc	pozolano	pragmatiko
463	20	4	m	s	pragmatiko	pragsatiko	pragmato	praktikar
465	24	5	c	o	premici	premioi	premio	premiso
472	12	2	c	o	prcnta	pronta	pronomo	pronukleo
476	14	3	o	c	pruo	pruc	prozopopeo	pruda
477	2	4	o	c	psiko	psikc	pseudosfero	psikiatrio
478	19	3	o	c	pulo	pulc	pugnc	pulco
481	33	7	o	c	quadrato	quadratc	quadrahto	quadratika
484	31	0	q	o	quino	ouino	ouilayo	quin
486	42	4	o	a	radioi	radiai	raciono	radiografar
490	54	3	c	o	ravc	ravo	ravisar	razar
493	2	5	e	a	referer	referar	reee	referendario
495	10	3	o	c	rejo	rejc	reino	rejimo
495	23	3	o	a	rekolkar	rekalkar	rejimo	rekamar
496	9	3	c	o	rekcrtar	rekortar	rekordo	rekrutar
497	19	2	I	l	reiiefo	reliefo	relevar	religio
507	51	3	o	c	robo	robc	rizopodo	robineto
509	8	5	o	c	romano	romanc	rolo	romanco
510	12	0	I	r	iostoi	rostoi	pseioo	rostro
510	36	3	c	o	rotclar	rotolar	rotifero	rotoro
511	46	3	I	r	rubiiko	rubriko	rubino	ruda
515	31	0	a	s	aakrifikar	sakrifikar	sakramento	sakristo
517	15	0	a	s	aalvai	salvai	salutar	salvear
518	2	1	e	a	sendro	sandro	sandarako	sango
518	46	4	r	I	sapar	sapai	santuario	sapajuo
521	25	3	a	e	savano	saveno	savar	savorio
526	29	6	i	.	septuai	septua.	septimo	septuagesimo
527	44	4	o	e	serjo	serje	serioza	serjento
527	48	4	e	o	serjento	serjonto	serjo	serono
535	20	5	o	e	siluro	silure	silueto	siluriano
543	36	4	o	c	skolo	skolc	akizto	skoliasto
547	7	1	c	o	sckc	sokc	sofito	soklo
549	18	0	a	s	aonko	sonko	sonjar	soporto
553	52	0	a	s	apiso	spiso	spiremo	splenc
559	25	4	o	c	stero	sterc	stepo	stereografio
560	37	4	o	c	stilo	stilc	stigmato	stileto
562	48	5	e	s	strategio	stratsgio	stratego	strenar
564	42	4	o	c	stupo	stupc	stuntar	stupida
567	29	4	a	z	sufiao	sufizo	suficar	suflar
568	54	3	o	c	suno	sunc	sumnar	sundio
