page	ligne	col	lu	corrige	vedette lue	vedette retenue
179	5	5	o	c	fluoro	fluorc
179	30	4	o	c	fluxo	fluxc
179	49	4	o	c	folio	folic
180	21	1	e	m	fendar	fmndar
180	28	2	r	m	fmretisso	fmmetisso
180	47	1	o	e	fonto	fento
181	14	3	o	c	foroepso	forcepso
181	47	3	s	m	forsatc	formatc
182	6	1	c	o	fcrmulario	formulario
182	11	1	o	c	fornikar	fcrnikar
182	13	1	o	c	foroncmic	fcroncmic
182	15	1	o	c	forsar	fcrsar
182	46	0	f	(	fosato	(osato
183	14	3	o	c	foto	fotc
183	39	8	o	c	fotometro	fotometrc
184	2	1	m	o	fmtotipio	fototipio
184	19	1	o	c	foyero	fcyero
184	27	4	o	c	frago	fragc
184	40	4	a	s	frakasar	frakssar
184	42	3	s	m	fraso	framo
184	45	4	a	s	framasono	framssono
185	16	5	o	c	franjo	franjc
185	49	4	o	c	frazo	frazc
186	27	3	o	e	lkmouentar	lkmeuentar
186	31	0	d	l	dkmmlm	lkmmlm
186	37	0	l	d	lkmhar	dkmhar
186	39	0	l	d	lkmmaru	dkmmaru
188	19	2	o	c	fkostar	fkcstar
188	24	3	o	a	fruo	frua
190	15	2	r	m	lkrelo	lkmelo
190	39	3	o	c	furo	furc
190	43	1	m	u	fmreto	fureto
190	53	1	m	u	fmriero	furiero
193	6	3	s	a	galsno	galano
193	9	5	o	c	galero	galerc
194	6	1	m	a	smlvanometro	salvanometro
194	12	1	m	a	smlvanotropismo	salvanotropismo
194	26	0	s	g	smsbitar	gmsbitar
194	31	1	m	a	gmmelo	gamelo
194	36	1	m	a	gmmetc	gametc
194	44	4	o	c	gango	gangc
195	26	6	o	c	gardeno	gardenc
195	53	3	n	p	garnizono	garpizono
196	6	0	s	l	smroto	lmroto
196	20	1	a	m	sasometro	smsometro
196	24	1	a	m	sasto	smsto
197	2	2	z	a	gazelo	gaaelo
197	11	2	i	"	gei	ge"
197	43	4	r	o	genero	geneoo
198	22	0	g	s	gmnitar	smnitar
198	48	7	o	c	geografo	geografc
198	53	6	o	c	geologo	geologc
200	12	0	g	s	gicheto	sicheto
200	21	0	s	g	silochar	gilochar
201	46	4	o	a	glacor	glacar
202	15	4	o	c	slano	slanc
202	26	0	g	s	glata	slata
202	40	1	l	i	gleno	gieno
202	49	1	i	l	giioerino	glieerino
202	49	3	o	e	giioerino	glieerino
203	9	4	c	o	glikcso	glikosc
203	9	6	o	c	glikcso	glikosc
204	16	1	i	l	giutar	glutar
204	19	1	i	l	giuteo	glutee
204	19	5	o	e	giuteo	glutee
204	25	1	i	l	giuteno	gluteno
204	28	1	i	l	giutinar	glutinar
204	33	4	o	c	gnomo	gnomc
204	36	1	r	n	gromiko	gnomiko
205	44	3	o	c	goto	gotc
206	8	5	o	c	sysoio	sysoic
206	19	1	y	r	syadientc	sradientc
206	27	1	y	r	syafismo	srafismo
206	30	0	g	s	grafito	srafito
206	42	2	s	a	grsmatikc	gramatikc
208	17	2	s	a	sysvic	syavic
210	8	0	g	s	grucho	srucho
