# page	ligne	plages (a-b, inclusives, en colonnes)
# Releve a l'oeil ; remplace la detection automatique pour ces lignes.
44	28	0-6,10-14
44	31	0-5,9-13
44	32	27-33
44	34	0-4,11-15
44	39	0-5
44	42	0-6,10-22
44	44	0-4
44	45	8-13
44	48	0-3
44	50	0-4,8-11
44	51	6-10
44	53	0-4
45	2	0-5,9-12
45	7	0-8
45	10	0-9
45	13	0-7
45	14	34-43
45	16	0-6,10-15
45	18	0-5,9-13
45	20	18-35
45	22	0-5
45	25	0-5,8-12
45	28	0-5,9-14
45	30	16-30
45	32	0-8
45	35	0-9,13-23
45	38	1-5
45	42	0-4
45	45	0-3
45	48	0-4
45	50	0-5,9-18
45	55	0-5
46	2	0-10
46	5	0-10,14-17
46	6	30-41
46	8	0-9,13-18
46	10	0-10
46	13	0-10
46	16	0-10
46	18	0-5,9-19
46	21	0-6,9-13
46	23	23-37
46	25	0-8
46	27	0-3
46	32	0-7
46	34	0-5
46	38	0-6
46	40	0-7
46	43	0-5
46	47	0-9,13-16
46	51	0-9
46	53	0-12,16-23
47	2	0-8
47	4	0-8,11-16
47	7	0-4
47	10	0-11,15-27
47	13	0-10
47	15	0-9,13-16
47	18	0-8
47	19	27-37
47	21	0-10
47	23	0-8
47	26	0-5
47	30	0-8
47	32	0-6
47	35	0-10,12-17
47	38	0-6
47	42	0-7
47	46	0-3
47	49	0-7,11-15
47	50	8-14
47	52	0-7
47	54	0-7
48	2	0-4
48	5	0-8
48	7	0-5
48	10	0-8
48	11	6-25
48	13	0-5
48	17	0-5,10-19
48	20	0-4
48	23	0-6
48	26	0-6
48	27	4-17
48	29	0-5,10-14
48	32	0-6,10-17,21-26
48	35	0-5,9-13
48	37	15-29
48	39	0-7
48	42	0-3
48	46	0-8,12-15
48	47	6-14
48	49	0-6,10-14
48	52	0-7,11-15
48	54	0-11
49	3	0-11
49	5	0-11
49	8	0-8,12-16
49	9	52-57
49	10	3-10
49	12	0-7
49	15	0-5,9-13
49	18	0-6,13-16
49	19	53-59
49	20	3-13
49	23	0-8,13-17
49	24	17-18
49	26	0-7,11-21
49	29	0-4,8-12
49	32	0-6,10-14
49	35	0-7,15-20
49	36	29-34
49	39	0-8,12-16
49	42	0-5,10-15
49	45	0-4,8-10
49	46	16-19
49	48	0-7,11-31
49	52	0-3,7-11
49	55	0-2
50	3	7-15,20-23
50	4	52-69
50	7	7-13,17-22,27-36
50	10	7-14,18-23
50	13	7-13
50	16	7-14,19-32
50	21	7-11,16-20
50	22	33-47
50	24	7-14
50	27	7-13,18-23
50	28	11-16,53-60
50	30	7-12
50	31	7-13
50	33	7-13
50	36	7-14,18-23
50	40	7-14,19-22
50	41	27-36
50	43	7-12
50	46	7-13,18-23
50	50	7-13,18-23
50	53	7-14,19-24,30-36
50	54	49-54
51	3	0-8,12-16
51	6	0-9,13-18,22-57
51	9	0-6,11-16
51	11	0-7,11-15
51	12	44-60
51	13	3-9
51	15	0-5
51	20	0-9
51	23	0-7,12-17
51	26	0-3,8-12
51	28	37-42
51	30	0-6,11-16
51	33	0-5,10-15
51	35	0-8,13-25,42-62
51	36	3-6
51	38	50-54,58-62
51	41	0-6,11-21
51	43	0-7,12-15
51	44	18-26
51	46	0-9
51	50	0-7
51	53	0-5
51	55	0-7,12-21
52	2	0-7,11-14
52	3	14-21
52	5	0-5,9-13
52	7	8-16
52	9	0-9
52	11	0-6,10-23
52	14	0-9
52	19	0-7
52	23	0-7,11-16
52	28	0-7,11-17
52	31	0-5,9-12
52	32	20-24
52	34	0-6,32-39
52	36	0-8
52	39	0-8,12-18
52	41	0-8,12-17
52	44	0-4,8-13
52	47	0-6,10-15
52	49	0-8,15-19
52	51	8-16
52	54	0-8
53	3	0-4,8-14
53	5	0-8,13-18
53	8	0-10,14-17
53	10	0-10
53	13	0-7
53	15	0-8
53	17	0-8
53	18	0-9
53	21	0-8
53	23	0-9
