# Toutes les cellules dont la lecture a ete modifiee par rapport au decodage brut.
# image	ligne	colonne	lu	retenu	origine
224	47	0	b	h	automatique
225	4	3	g	m	automatique
225	4	6	c	o	automatique
225	9	0	b	h	automatique
225	22	59	a	e	automatique
225	25	11	I	r	automatique
225	28	7	I	r	automatique
225	33	27	o	e	automatique
225	38	0	b	h	automatique
225	38	24	c	o	automatique
225	39	33	A	a	automatique
225	47	6	c	o	automatique
226	27	25	L	l	automatique
226	43	11	m	e	automatique
227	7	39	e	a	automatique
227	10	22	c	o	automatique
227	12	0	n	h	automatique
227	12	57	m	s	automatique
228	11	12	p	t	automatique
228	15	0	h	b	automatique
228	15	1	o	e	automatique
228	22	0	b	h	automatique
228	28	8	c	o	automatique
228	28	41	h	n	automatique
228	46	0	b	h	automatique
228	52	0	b	h	automatique
228	55	7	s	a	automatique
229	14	23	p	t	automatique
229	19	19	p	t	automatique
229	25	7	g	e	automatique
229	25	35	s	m	automatique
229	30	20	s	m	automatique
229	33	0	b	h	automatique
229	33	23	e	a	automatique
229	33	56	o	e	automatique
229	38	0	b	h	automatique
229	45	14	s	m	automatique
229	52	0	h	n	automatique
229	52	1	o	u	automatique
229	52	2	p	o	automatique
230	3	8	e	a	automatique
230	6	4	q	o	automatique
230	21	52	o	b	automatique
230	29	9	c	o	automatique
230	38	65	c	o	automatique
231	26	54	l	i	automatique
232	6	0	h	b	automatique
232	12	11	A	a	automatique
233	16	18	s	m	automatique
233	29	5	c	o	automatique
233	51	11	L	l	automatique
234	6	14	o	b	automatique
234	23	4	s	x	automatique
234	26	2	f	i	automatique
234	56	15	n	h	automatique
235	19	35	b	h	automatique
236	4	2	n	r	automatique
236	4	3	s	a	automatique
236	9	4	I	r	automatique
236	37	6	c	o	automatique
236	44	41	e	a	automatique
236	44	42	z	s	automatique
237	30	28	o	c	automatique
237	49	35	e	a	automatique
237	49	53	s	m	automatique
237	52	12	D	C	automatique
238	27	33	a	e	automatique
238	51	32	l	i	automatique
239	34	8	F	P	automatique
239	34	11	b	t	automatique
239	37	16	p	n	automatique
239	46	24	c	o	automatique
239	46	26	c	o	automatique
240	24	3	r	p	automatique
240	27	0	d	i	automatique
240	45	13	o	p	automatique
241	4	40	I	P	automatique
241	18	11	g	e	automatique
241	18	15	s	m	automatique
241	21	17	s	m	automatique
241	21	38	s	x	automatique
241	50	40	h	n	automatique
242	17	28	e	a	automatique
242	26	2	s	m	automatique
242	43	10	n	o	automatique
242	46	6	I	r	automatique
243	5	7	E	g	automatique
243	18	52	r	n	automatique
243	30	37	s	m	automatique
243	30	40	c	o	automatique
243	49	63	c	o	automatique
243	53	11	E	p	automatique
243	53	13	l	i	automatique
244	5	27	o	c	automatique
244	5	28	o	h	automatique
244	5	29	o	e	automatique
244	8	26	I	T	automatique
244	9	10	b	t	automatique
244	17	23	o	r	automatique
244	26	62	s	m	automatique
244	46	22	s	x	automatique
245	23	10	c	o	automatique
246	24	13	o	n	automatique
246	24	17	o	a	automatique
247	12	27	s	m	automatique
247	13	3	b	p	automatique
247	13	60	z	s	automatique
247	17	57	m	n	automatique
247	17	58	b	t	automatique
247	18	3	g	s	automatique
249	18	29	e	a	automatique
249	26	58	e	a	automatique
249	26	59	z	s	automatique
249	32	25	D	O	automatique
249	33	56	h	n	automatique
250	2	1	m	u	automatique
250	3	3	c	o	automatique
250	3	4	r	n	automatique
250	8	13	e	v	automatique
250	9	3	p	s	automatique
250	9	4	u	o	automatique
250	27	11	s	m	automatique
250	35	4	e	v	automatique
250	35	38	A	a	automatique
250	39	6	c	o	automatique
250	45	9	M	R	automatique
251	37	2	z	a	automatique
252	16	23	r	n	automatique
252	22	6	s	a	automatique
252	22	23	m	u	automatique
252	36	11	s	m	automatique
252	39	6	m	a	automatique
252	63	80	m	e	automatique
252	63	81	a	m	automatique
253	8	44	p	o	automatique
253	11	14	c	o	automatique
253	24	0	j	l	automatique
253	24	1	a	o	automatique
254	2	0	h	D	automatique
254	2	1	m	u	automatique
254	2	9	r	n	automatique
254	26	3	E	o	automatique
254	29	31	P	p	automatique
254	38	4	c	o	automatique
254	48	0	h	n	automatique
254	48	2	u	l	automatique
255	38	12	c	z	automatique
255	46	11	b	o	automatique
256	17	1	m	u	automatique
256	17	2	r	n	automatique
256	26	3	c	o	automatique
256	54	22	p	n	automatique
256	55	56	e	a	automatique
257	33	1	u	a	automatique
257	37	12	c	o	automatique
258	24	4	d	i	automatique
258	27	17	F	P	automatique
259	5	12	o	r	automatique
259	23	42	s	m	automatique
259	32	23	c	o	automatique
260	3	3	c	o	automatique
260	34	17	v	e	automatique
260	34	20	x	s	automatique
262	7	53	a	d	automatique
262	15	4	s	o	automatique
262	29	0	l	k	automatique
262	35	0	l	k	automatique
263	12	2	m	n	automatique
263	35	7	e	o	automatique
263	55	17	a	s	automatique
264	11	50	B	S	automatique
264	11	52	x	k	automatique
264	17	13	I	r	automatique
264	49	46	o	a	automatique
265	12	16	c	o	automatique
265	16	12	r	p	automatique
265	36	6	o	u	automatique
265	45	9	c	o	automatique
266	19	0	l	k	automatique
266	19	7	c	o	automatique
266	26	6	s	m	automatique
266	26	7	m	a	automatique
266	42	5	c	o	automatique
266	45	3	x	s	automatique
267	6	54	e	a	automatique
267	7	7	s	m	automatique
267	9	6	c	o	automatique
267	15	8	c	o	automatique
267	50	6	c	o	automatique
268	6	3	c	o	automatique
268	7	40	o	r	automatique
268	9	59	m	o	automatique
268	9	61	i	a	automatique
268	14	6	s	o	automatique
268	17	22	I	T	automatique
268	20	21	R	S	automatique
268	23	0	l	k	automatique
268	33	0	l	k	automatique
269	28	40	b	p	automatique
269	28	43	b	t	automatique
269	42	16	e	v	automatique
269	53	4	o	e	automatique
270	26	0	k	p	automatique
270	26	1	m	a	automatique
271	15	18	A	a	automatique
271	24	15	e	v	automatique
271	32	24	s	x	automatique
271	50	3	z	c	automatique
272	17	0	l	k	automatique
272	34	0	l	k	automatique
272	46	34	o	r	automatique
272	54	20	i	l	automatique
273	11	22	h	n	automatique
273	46	24	c	o	automatique
274	6	6	n	R	automatique
274	16	0	l	k	automatique
274	25	0	l	k	automatique
274	29	0	l	k	automatique
274	39	10	I	l	automatique
274	49	6	c	o	automatique
275	3	52	R	N	automatique
275	3	54	s	a	automatique
275	20	41	b	t	automatique
276	9	3	g	p	automatique
276	11	7	c	o	automatique
276	14	3	k	s	automatique
276	20	3	c	o	automatique
276	20	10	D	C	automatique
276	24	5	o	c	automatique
276	27	6	I	r	automatique
277	19	12	a	M	automatique
277	48	22	c	e	automatique
278	31	9	c	o	automatique
278	39	0	l	k	automatique
280	16	14	x	k	automatique
280	26	1	m	a	automatique
280	32	0	l	k	automatique
280	35	0	l	k	automatique
280	38	0	l	k	automatique
280	47	9	T	P	automatique
280	48	57	s	m	automatique
280	59	6	e	o	automatique
281	2	5	c	o	automatique
281	3	27	h	n	automatique
