vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
prologo		En teatrajo : sorto di prefaco qua anuncas e preparas la serio de eventontaji pleala ¶ Quaza prefaco			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	464	27	471	
prolongar	trans.	Plulongigar en spaco (kayo, trotuaro, muro). Adjuntar, ad ula kozo, ulo suplementa qua konstitucas integrajo kun olu e qua havas kom nomo « prolonguro ».On plulongigas : vivo, milito, voyajo, la valideso di pasporto			Germana,Angla,Franca,Italiana,Hispana	DEFIS	464	31	471	
promenar	netrans.	Irar marche, dise, por respirar en aero ne-enklozita, por exercar sua muskuli			Germana,Angla,Franca,Rusa	DEFR	464	37	471	
promisar	trans., ad ulu	Dicar, garantiante lo per sua honoro, ke onu agos o facos ulo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	464	40	471	
promocar	trans.	Elevar (ulu) ad ofico, a grado, plu alta en la hierarkio			Germana,Angla,Franca,Italiana,Hispana	DEFIS	464	43	471	
promontorio	geogr.	Triangulo de tero tre salianta qua quaze avancas aden maro			Germana,Angla,Franca,Italiana,Hispana	DEFIS	464	46	471	
promulgar	trans.	Publikigar (lego) segun la formi postulata por ke lu divenez obliganta			Germana,Angla,Franca,Italiana,Hispana	DEFIS	464	49	471	
pronar	netrans.) (religio, aludante la paroko, la vikario	Donar instrucioni, lor la celebro di la meso parokiala, en la sundii e la festo-dii, adjuntante a li la rekomendi quin lu havas (eventuale) agenda a la ekleziani, la publikigi di la mariaji, e c.			Franca	F	464	52	471	
pronacar	trans.) (anat.	Igar la karpo en posturo tala ke la palmo di la manuo « regardas » vers sulo. (antonimo : supinacar)					465	5	472	sen-lingua
pronomo	gram.	Vorto-speco qua remplasas e pleas la rolo di la nomo tacita			Germana,Angla,Franca,Italiana,Hispana	DEFIS	465	9	472	
pronta		Tote preparita ¶ Qua esas quik....onta			Italiana,Hispana	IS	465	12	472	
pronukleo	biol.	Parto nuklea di la ovulo e di la spermatozoido qui kunfuzesas lor la fekundigo					465	14	472	sen-lingua
pronuncar	trans.	Igar audebla publike (pronuncar diskurso, laudo funerala, pledo) ¶ Enuncar, artikulante la silabi, la vorti			Angla,Franca,Italiana,Hispana	EFIS	465	17	472	
propagar	trans.	Diskonocigar proximope. – (metaf. : genitar por plumultigar (sua) decendanti.)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	465	21	472	
proporcionar	trans.	Konformigar a la legi segun qui(lu), kom parto di ensemblo, esas tale o tale granda, konsidere di la toto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	465	24	472	
proporciono		En linguo vulgara : (a) grandeso di parto kompare a la toto od a la altra parti, en ensemblo; (b) grandeso di kozo kompare a kozo analoga, egardata kom tipo; (c) grandeso di kozo kompare ad altra kozo, la unesma kreskante o deskreskante segun ke la duesma kreskas o deskreskas ¶ En la linguo ciencala : (a) (matem.) Proporciono geometriala : Inter-egaleso di du raporti per quociento. Proporciono-regulo : operaco per qua, donite un ek la du raporti ed un termino di la duesma, onu determinas la altra termino. Proporciono aritmetikala : Interegaleso di du raporti per difero. – (kemio) Proporciono definita : Quantesi fixa, nevariiva, segun qui interunionas la korpi por formacar kombinuri kemiala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	465	28	472	
propozar	trans.) (ad	Pozar (ulo) avan ulu kom objekto, kom temo, di studio, di exploro ¶ Pozar (ulo) avan ulu kom regulo, kom modelo a qui konformigor sua agado ¶ Pozar (ulu) avan (ulu, korporaciono) kom kandidato			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	465	42	472	
propoziciono		(logiko) Enunco di judiko ¶ (gram.) Asembluro ek objekto, verbo ed atributo ¶ (geom.) Enunco di teoremo demonstrenda ¶ (teol.) Afirmo dogmatala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	465	47	472	
propra		Qua proprietesas da persono, da kozo, exkluze di omna altra			Angla,Franca,Italiana,Hispana	EFIS	465	52	472	
propretoro	en Roma, antique	Lietnanto (remplasanto) di la pretoro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	465	55	472	
proprietar	trans.	Posedar (ulo) kom sua, kom propra, komplete e legitime			Angla,Franca,Italiana,Hispana	EFIS	465	58	472	
propulsar	trans., ad	(mekan.) (aludante helico, paletroto, e c.) Pulsar adavan, avance			Germana,Angla,Franca,Italiana,Hispana	DEFIS	466	2	473	
prorogar		(yurocienco) Ajornar oficale a dato plu o min fora ¶ (aludante asemblitaro) Rezolvar cesar quik la *seanco, la *sesiono, til epoko determinata			Germana,Angla,Franca,Italiana,Hispana	DEFIS	466	5	473	
prosektoro	anat.	Helpisto qua preparas, por la profesoro di medicino, la disseko-peci					466	9	473	sen-lingua
prosenkimo	bot.	Tisuo ek fibri					466	12	473	sen-lingua
prosilogismo	logiko	Katenatra dispozeso di la silogismo, en qua la konkluzo di la unesma divenas la premiso di la duesma – e tale pluse					466	14	473	sen-lingua
proskriptar	trans.) (en Roma, antique	Imperar la ocido (di ulu) sen formi judiciala, per nur enskribo sur afisho-texto publikigita ¶ Kondamnar ad ocideso grandaquante			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	466	18	473	
prospekto		Anuncilo, generale imprimura, pri verko qua balde publikigesos, o pri institucuro por publiko, o pri varo, e c., quan onu disdonas por atraktar la kompronti, la klienti, eventuala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	466	23	473	
prosperar	netrans.	Favoresar da fortuno, sucesar, standar plena-vigoro			Germana,Angla,Franca,Italiana,Hispana	DEFIS	466	28	473	
prostato	anat.	Glando situita (che la viro) ye la juntopunto di la veziko-kolo kun la uretro			Germana,Angla,Franca,Italiana,Hispana	DEFIS	466	31	473	
prostatito	patol.	Inflamuro di la prostato			Germana,Angla,Franca,Italiana,Hispana	DEFIS	466	34	473	
prosternar	netrans.	Kushar su, kun sua ventro vers sulo, kun sua vizajo kontre sulo (od inklinar su til kande sua fronto tushas sulo) koram ulu, kom signo di respekto			Angla,Franca,Italiana,Hispana	EFIS	466	36	473	
prostezo	gram.	Adjunto di un litero, di un silabo, komence di vorto. (kom ex. : ica vice ca, en L. iscala vice scala; en F. lierre vice ierre)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	466	41	473	
prostitucar	trans.	(aludante muliero) Koitar kun irgu po pekunio ¶ (metaf.) Prostitucar la judicio : sakrifikar lu pro la expekto di pekunio, di favori, e c. Prostitucar sua plumo : vendar sua skribo, sua redakto, po pekunio, ofico, e c. Prostitucar amikeso : igar irgu sua amiko, expekte di profito			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	466	45	473	
prostracar	netrans.	Esar abatita extreme, mentale, spiritale, o korpale			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	466	52	473	
protagonisto		La persono qua, en teatrajo, pleas la rolo precipua. – Metaf. La persono qua *iniciativas ed agas quaze kom chefo en ta o ca afero publik-utila, homaro-bona			Germana,Angla,Franca,Hispana	DEFS	467	2	474	
protalo	bot.	Mikra lamo verda, granda admaxime quale la unglo di la orel-fingro, kreskanta surface di tero, qua rezultas de la jermifo di la spori di filiki (o di la cetera kriptogami vaskuloza)					467	6	474	sen-lingua
protamino	kemio organika	Proteino kontenata da la spermatozoidi di la fishi					467	11	474	sen-lingua
protandra	bot.	Dicesas pri la flori hermafrodita che qui la stamini divenas matura ante la pistilo ed ube, konseque, la fekundigo povas eventar nur inter flori distingata					467	14	474	sen-lingua
proteo		Homo qua pleas omna roli			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	467	18	474	
protecionar	trans.) (ekonomiko	Charjar la produkturi de la landi stranjera, per dogano-imposti, por (aserte) protektar la produkturi di sua propra lando, detrimente di la kompronti			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	467	20	474	
proteino	biol.	Nomo rezervata, prefere, por la albuminoidi simpla, opoze a la albuminoidi kompozura (proteidi)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	467	25	474	
protektar	trans.	Defensar kontre to quo minacas ¶ Helpar la suceso di ulu per sua famo, sua egardeso, sua moyeni financala od altra			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	467	28	474	
protektorato	politiko	Dependo impozata a stato, a teritorio pozita sub la protekto di stato plu potenta, qua administras lu			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	467	32	474	
proteolitika	biol.	Qua koncernas la disloko di la proteini aden grupi plu simpla, influe da la fermenti digestala o da la efiki fiziko-kemiala					467	36	474	sen-lingua
protestar	netrans.	Agar reklamaco formala kontre ago, kontre rezolvo quin onu deklaras nelegitima ¶ (komerco) (aludante pago-promiso, trato) Igar konstatar oficale ke lu ne esas pagita ye la pago-dato, e ke la persono qua devis pagar responsas pri omna spensi acesora e detrimenti			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	467	40	474	
protezo	kirurg.	Remplasigo, per artificalajo, di organo quan onu deprenis per ablaciono			Germana,Angla,Franca,Italiana	DEFI	467	50	474	
protisto	biol.	Organismo maxim simpla, qua havas karakteri qui esas komuna a la du regni i animalaro e plantaro			Germana,Angla,Franca,Italiana,Hispana	DEFIS	467	53	474	
protogina	biol.	Floro che qua la pistilo matureskas ante la stamini. (antonimo : protandra)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	468	2	475	
protokolo		Raporto pri la rezolvi da kongresintaro, da konferintaro diplomacala ¶ Raporto per qua persono yurizita pri lo, o persono autoritatoza legale, konstatas to quon lu agis, facis, vidis od audis ¶ Akto da oficiero judiciala, qua konstatas delikto o kontravenco ¶ Raporto pri to quo eventis en *seanco o *sesiono di asemblitaro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	468	5	475	
protoplasmo	biol.	Substanco komplexa, pasable fluida e diafana, ye qua konsistas la korpo di la celulo vivanta, e qua kontenas parto diferenciita (nukleo) e kelka organeti : mikrosomi, leciti, vakuoli, e c.			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	468	13	475	
prototipo		Tipo prima, segun qua onu exekutis la exempleri cetera ¶ (metaf.) Modelo supera ad la ceteri			Germana,Angla,Franca,Italiana,Hispana	DEFIS	468	18	475	
protozoo	zool.	Animaleto quan lua organismo elementala lokizas ye la grado maxim infra en la hierarkio animalala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	468	21	475	
protuberanco		Saliajo qua aspektas quale gibo, ye la surfaco di korpo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	468	25	475	
proverbo		Kurta precepto di sajeso praktikala, uzata da la turbo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	468	28	475	
providenco		(religio) La sajo dea qua guvernas omna existajo ¶ (religio) Deo egardata kom guvernanto di omna existajo ¶ (metaf.) Helpo, susteno, konstanta			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	468	31	475	
provinco		(en Roma, antique) Teritorio qua konquestesis exter Italia, ed administrata da guverniestro ¶ Dividuro teritoriala di stato, administrata ye la nomo di la suvereno da guverniestro partikulara ¶ Kontraste kun la urbo metropola : la cetero di la lando			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	468	36	475	
provizar	trans., ye ulo	Igar havar to quo esas necesa			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	468	42	475	
provizora		Qua supleas dum kelka tempo por la satisfaco di bezono, varte di to quo esos definitiva ¶ Qua funcionas en ofico, dum kelka tempo, sen havar la titulo qua inheras la ofico			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	468	45	475	
provokar	trans., ad	Ecitar a lukto, pro agar atakeme			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	468	50	475	
proxeneto		Mediacanto en la intrigi di aventuro amorala			Franca,Italiana,Hispana	FIS	468	53	475	
proxim		Poke distanta (tempale, spacale, gradale) de...			Angla,Franca,Italiana,Rusa,Hispana	EFIRS	468	56	475	finalo-nekustumala
prozo		Formo di la pens-expresuro qua ne submisesas a la mezuro ed a la ritmo di la verso			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	469	2	476	
prozelito		Nova adepto di religio			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	469	5	476	
prozodio		(gram.) Pronunco regulkonforma di vorto, konforme a la acentizo ¶ Reguli pri la quanto de silabi e la mezuro di la versi diversa			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	469	7	476	
prozopopeo	retor.	Figuro qua konsistas ye egardigar kom vivanta, kozin, personin mortinta od absenta			Germana,Angla,Franca,Italiana,Hispana	DEFIS	469	11	476	
pruo		Avana parto di navo, di batelo			Angla,Franca,Italiana,Hispana	EFIS	469	14	476	
pruda		Qua afektacas vertuo rigoroza			Germana,Angla,Franca	DEF	469	16	476	
prudenta		Qua praktikas ta sajeso qua regulas la konduto ed igas posibla la evito di kulpi, di erori			Angla,Franca,Italiana,Hispana	EFIS	469	18	476	
pruinar	netrans.	Kovreskar per roso konjelita, o per nebulo konjelita, lor la nokti kolda di autuno o di printempo					469	21	476	sen-lingua
pruno	bot.	Frukto kernoza, kun shelo glata	prunus		Angla,Franca,Italiana	EFI	469	25	476	
prunelo	bot.	Pruno sovaja, nigra, di qua la saporo esas akra	prunus spinosa		Franca,Italiana	FI	469	27	476	
pruntar	trans., de	Obtenar ke ulu prestas ¶ Tirar (ulo) de kunhomo ¶ Rekursar ad helpo de altru			Franca	F	469	30	476	
pruritar	netrans.	Tale priklar ke divenas necesega skrapar la pelo			Angla,Franca,Italiana,Hispana	EFIS	469	33	476	
pruvar	trans.	Vidigar kom exakta, per rezono o per fakti			Germana,Angla,Franca,Italiana,Hispana	DEFIS	469	36	476	
psalmo	religio krist.	Kantiko religiala			Germana,Angla,Italiana,Franca,Hispana	DEIFS	469	39	476	
psalmodiar	trans.	(kirko) Kantar psalmi ¶ (metaf.) Recitar monotone			Germana,Angla,Franca,Italiana,Hispana	DEFIS	469	41	476	
psalterio	epoki antiqua	Muzik-instrumento kordoza, quan onu pleas per plektro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	469	44	476	
pseudo-		Prefixo qua havas kom senco « ne-exakta, ne-reala »					469	47	476	sen-lingua
pseudonimo		Qua publikigas (o publikigesas) kun autor-nomo ne-exakta. – Pseudonimo : Nomo ne-exakta			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	469	49	476	
pseudosfero	geom.	Surfaco di rotaco, produktita da la traktorio qua rotacas cirkum sua asimptoto					469	52	476	sen-lingua
psiko		La koncio fenomenala, egardata kom responsiva; la studiajo di psikologio. (ta termino esas plu generala kam « anmo ».)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	470	2	477	
psikiatrio		Kuracado di la morbi mentala			Germana,Angla,Franca,Italiana,Rusa	DEFIR	470	6	477	
psikologo		La persono qua su okupas pri psikologio, o kompozas verki pri psikologio ¶ Autoro, persono qua diletas per analizar la standi psikala			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	470	8	477	
psikologio		Ta parto di filozofio qua traktas la fakultati mentala e la agado di psiko			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	470	12	477	
psikoso	patol.	Irga ek la morbi mentala					470	15	477	sen-lingua
psikrometro		Aparato per qua onu mezuras, onu determinas, la tenseso higrometrala di atmosfero			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	470	17	477	
psit!		Interjeciono uzata por atraktar la atenco da persono quan onu ne ja rajuntis, e qua avancas avan la advokanto					470	20	477	sen-lingua
psoaso	anat.	Nomo di la muskuli qui esas sur la lateri di la vertebri lumbala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	470	23	477	
pterigoida		Alo-forma					470	26	477	sen-lingua
pteropodo	zool.	Klaso de moluski di qui la pedo havas du larja apendici ek muskuli, o flosi			Angla,Franca,Italiana,Hispana	EFIS	470	28	477	
ptomaino	kemio biol.	Substanco alkaloida, qua naskas lor la putro da la proteini, e quan onu renkontras, do, en la kadavri			Germana,Angla,Franca,Italiana,Hispana	DEFIS	470	31	477	
pubera		La persono che qua aparis la genito-fakultato			Angla,Franca,Italiana,Hispana	EFIS	470	35	477	
pubio	anat.	Osto, e parto, avana e supra, di la pelvo, proxim la regiono hipogastrala, qua divenas kovrata ye pili lor la puberesko			Angla,Franca,Italiana,Hispana	EFIS	470	37	477	
publicano	biblo	Recevisto di la imposti o di la censo-revenuo por la Romani (antique) e, pro lo, odiata e desestimata lore da la Judi			Angla,Franca,Italiana,Hispana	EFIS	470	41	477	
publicisto		Persono qua kompozas libri od artikli – od esas erudita – pri la yuri qui koncernas la relati da la guvernistaro di stato kun la civitani di ta lando, e pri politiko			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	470	45	477	
*publico	publiko	Irgu, sen distingo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	470	50	477	
publika		Uzebla, acesebla, da irgu, koram irgu (voyo, gardeno, lecioni, *seanco, diskuto – publika)			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	470	52	477	
pudelo	zool.	Varietato de hundo, di qua la pili esas longa e frizita			Germana,Angla,Rusa	DER	470	55	477	
pudlar	trans.) (tekn.	Rafinar gisfero per deprenar lua troa karbono, transformar lu a fero o stalo, per varmigar lua surfaci oxidigiva			Germana,Angla,Franca,Rusa	DEFR	471	2	478	
pudorar		(netrans.) (precipue pri la homini) Shamar pri to quo koncernas sexuo			Angla,Franca,Italiana,Hispana	EFIS	471	6	478	
pudro		Amilo, reduktita a partikuli extreme tenua, parfumizita, uzata por la karnaciono, la hari			Germana,Angla,Franca,Rusa	DEFR	471	9	478	
puero		Homo, kande lu evas inter 7 e 15 yari			Angla,Franca,Latina	EFL	471	12	478	
pufo		Grosa tabureto cilindra, polsterizita, sen apogilo			Germana,Angla,Rusa	DER	471	14	478	
pugno		La manuo kande klozita, do kun la fingri interklemanta			Angla,Franca,Italiana,Hispana	EFIS	471	16	478	
pulo		(lor ludo per karti, biliardo, en la parii pri arkaika) Pario en qua la riskaji (pekunio) di omna ludanti esos tote por la ganonto			Angla,Franca	EF	471	19	478	
pulco	zool.	Mikra insekto, parazito di la homo e di ula animali, qua su nutras ek lia sango	pulex irritans		Franca,Italiana,Hispana	FIS	471	23	478	
pulchinelo		Rolo komika, reprezentata kun du gibi (un dorse, un ventre), nazo hokatra e koloroza, kostumo tre precoza, e mimaskilo nigra ¶ (metaf.) Persono groteska, poke valoroza			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	471	26	478	
pulio	tekn.	Roto, ligna o metala, qua rotacas per axo, e provizita ye lua cirklokurvo, ye ranuro en qua pasas kordo di qua la extremaji recevas : ica, la tiro-forco, ita la rezisto-forco multa-kaze, sur transmiso-pulio, rimeno remplasas la kordo, e la ranuri divenas neutila			Angla,Franca,Italiana,Hispana	EFIS	471	31	478	
pulikario	bot.	Genero de kompozaji, tribuo de la radicei	pulicaria		Latina	L	471	37	478	
pulmono	anat.	Singla ek la du viceri sponjatra, qui esas intersimetre en la kavajo torakala, per qui agesas e la respiro, e la produkto di voco			Angla,Franca,Italiana,Hispana	EFIS	471	40	478	
pulmonario	bot.	Nomo di planti diversa qui aspektas, plu o min multe, quale pulmono	pulmonaria				471	44	478	sen-lingua
pulmonito	patol.	Inflamuro di la parenkimo di la pulmono			Franca,Italiana,Hispana	FIS	471	47	478	
pulpo		(bot.) Parto quaze-karna di ula frukti, legumi, e c. ¶ (farmacio) Pulpo pastigita por ula preparaji farmaciala			Germana,Angla,Franca,Italiana,Hispana	DEFIS	471	49	478	
pulsar	trans.	Diplasar per preso, stroko, shoko ¶ (pri kordio) Pulsar sango per stroki iterata, sen-cesa			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	471	53	478	
pultro		Ensemblo ek la uceli quin onu nutras ed edukas en farmodomo, ruro-domo, korto por la animali domestika (hani, gansi, anadi, e c.)			Angla	E	471	56	478	
pulular	netrans.	Kreskar (nombrale) abundege e rapide			Angla,Franca,Italiana,Hispana	EFIS	472	2	479	
pulvero		Substanco solida, medikamenta, reduktita a partikuli tre tenua ¶ (milit-arto) Mixuro de sulfo, salpetro e karbono, reduktita a partikuli tenua, qua, kande acendata, esas extreme exploziva – ed uzesas en la pafarmi por lansar projektili			Germana,Angla,Franca,Italiana,Hispana	DEFIS	472	5	479	
pumao	zool.	Mamifero karnavida, ek la familio « felidi », qua vivas sur la kontinento Amerika	felix concolor		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	472	11	479	
pumico	geol.	Petro volkanala, poroza, lejera, uzata por frotar, polisar, e c.			Angla,Italiana,Hispana	EIS	472	15	479	
pumpar	trans.	Aspirar o pulsar (liquido, gaso) per aparato qua, ordinare, konsistas ye cilindro en qua su movas, rektalinee ed alterne, pistono			Germana,Angla,Franca,Italiana,Hispana	DEFIS	472	18	479	
puncar	trans.	Surpozar (quaze perforo-probe) marko konkava produktita per stalo-bloko kun, ye un ek lua extremaji pinta, graburo reliefa, e sur la altra extremajo di qua onu frapas per martelo ¶ Perforar (bilieto kartona o papera) per pinco por igar lu nevalida			Germana,Angla,Franca,Italiana,Hispana	DEFIS	472	22	479	
puncho		Drinkajo, mixuro ek aquo, od infuzuro de teo, kun brandio o rumo, citrono e sukro			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	472	28	479	
puncionar	trans.) (kirurg.	Pikar kirurgiale por igar eskapar liquido qua amaseskis aden kavajo di la korpo (kavajo naturala od acidentala)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	472	31	479	
punisar	trans.) (pro, per	Aplikar (ad ulu) sufrigilo pro lua kulpo			Angla,Franca,Italiana,Hispana	EFIS	472	35	479	
punsar	trans.	Kopiar desegnuro per pulvero quan onu pasigas tra la trui di papero perforita segun la linei di la desegnuro			Angla,Franca	EF	472	38	479	
punto		(gram.) Signo ortografiala super le « i » ¶ *Puntuo-signo : .;?! ... ¶ (muziko) Signo qua, apud noto, augmentas la duro-valoro di olca; qua indikas haltinstanto en la mezuro ¶ (geom.) Elemento qua genitas la lineo, konsiderata per abstrakto, kom ulo qua esas nek longa, nek larja, nek profunda ¶ La subdividuro minima di la parti di la temo quan onu traktas ¶ (ludi : biliardo, karti, loto, e c.) Marko quan onu facas sur paperfolio od ardezo-plako, pos singla gano-stroko. -VII. (tipogr.) Mezuro qua determinas la grandeso di la tipi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	472	42	479	
pupo	navig.	Dopa parto di navo, di batelo			Angla,Franca,Italiana,Hispana	EFIS	472	53	479	
pupeo		Mikra figuro homala, ek kartono, vaxo, ligno, uzata da la infantini kom ludilo			Germana,Angla,Franca	DEF	472	55	479	
pupilo	anat.	Aperturo, meze di iriso, tra qua la lumo-radii eniras la okulo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	473	2	480	
pupitro		Moblo en qua existas surfaco plana, inklinita, sur qua onu pozas libri, muziko-kayeri, papero-folii, por lektar, kantar, plear, skribar komfortoze			Franca,Italiana,Hispana	FIS	473	5	480	
pura		Kun la naturo di qua ne esas mixita elemento stranjera. – La matematiki pura, la mekaniko pura : qui havas kom studiajo nur la teorio, sen apliki praktikala ¶ Di qua la naturo ne koruptesas da elemento stranjera			Germana,Angla,Franca,Italiana,Hispana	DEFIS	473	9	480	
pureo		Disho ek legumi reduktita a paplo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	473	14	480	
purgar	trans.	Kuracar per eskapigar la feko quan kontenas la intestini, per absorbigar lino-semini, agar-agaro, ricinoleo, aquo minerala sulfoza, e c. ¶ (ulo) Liberigar de to quo sordidigas, desparigas, koruptas, domajas (lu)			Germana,Angla,Franca,Italiana,Hispana	DEFIS	473	16	480	
purgatorio	religio katol.	Loko ube la homi qui mortas ye stando di graco, expiacas la peki pri qui li ne penitencis sat multe en ica mondo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	473	21	480	
puritano	kristanismo	Membro di sekto protestanta tre rigoroza, qua aspiras ad igar kristanismo ri-esar pura quale lor lua origino			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	473	25	480	
purpuro		Kolorizivo bele-reda quan antique onu obtenis de L. murex trunculus o murex brancaris, molusko gasteropoda, tipo di la tribuo « muricinei » qua vivas en la mari di qui la aquo esas kolda o tepida, o fosila de la epoko « kretacea »			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	473	29	480	
puso	patol.	Humoro morbala, densa, quan produktas la korupteso di la tisui, lor lia inflameso			Angla,Franca,Italiana,Hispana	EFIS	473	35	480	
pustulo	patol.	Mikra tumoro qua pusifas			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	473	38	480	
putativa	yurocienco	Pri qua onu kredas ke lu esas valida legale			Angla,Franca,Italiana,Hispana	EFIS	473	40	480	
puteo		Exkavajo facita en sulo por tirar la aquo quan donas, ye ta o ca profundeso-grado, fonti od infiltruri. – Puteo arteza : Boro-kanaleto, facita en sulo per sondilo, qua atingas (multa-kaze) profundeso-grado tre granda, til aquo-strato			Franca,Italiana,Hispana	FIS	473	43	480	
putoro	zool.	Mamifero karnivora, ek la familio « martri », qua odoras fetide	mustela putorius		Franca	F	473	49	480	
putrar	netrans.) (pri, precipue, animalo o planto mortinta	Deskompozar su			Angla,Franca,Italiana,Hispana	EFIS	473	52	480	
qua	gram.	(pronomo relativa) Ne havas ipse senco; lokizita kom vorto rang-unesma di propoziciono qua pluprecizigas antecedento tre nepreciza, e determinas lu : (a) se « qua » ne preiresas nemediate da komo, la antecedento esas la lasta substantivo di la propoziciono preiranta; (b) se « qua » preiresas da komo, la antecedento esas la pre-lasta substantivo di la propoziciono preiranta. (ta regulo esas aplikita rigoroze en ica Radikaro) ¶ (pronomo questionala) « Qua persono...? » ¶ (adjektivo questionala) « Qua... ek la plura qui existas...? »					474	12	481	sen-lingua
quadro		Petro-bloko qua esas taliita (o qua esos taliita) por esor uzebla kom parto di domo, di edifico			Germana,Italiana	DI	474	23	481	
quadrangula	geom.	Qua havas quar anguli e quar lateri. – Prismo, piramido quadriangula : di qua quadrilatero formacas la bazo					474	26	481	sen-lingua
quadranto	geom.	Quarimo di la cirklo-kurvo, t.e. 90			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	474	30	481	
quadrato	geom.	Quadriangulo equilatera ed ortangula			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	474	33	481	
quadratika	matem.	Equaciono quadratika : equaciono algebrala di qua la grado egalesas 2-potenco e di qua la solvo esas reduktebla ad olta di nombro finita de equacioni di la grado duesma					474	36	481	sen-lingua
quadraturo	astron.	Aspekto di du astri qui interdistas per un quarimo di cirklokurvo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	474	41	481	
quadri-	prefixo ciencala	« Qua havas quar....-i »					474	44	481	sen-lingua
quadrigo	en la epoki antiqua	Charo ad qua onu jungis quar kavali sama-fronte			Germana,Angla,Franca,Italiana,Hispana	DEFIS	474	46	481	
quadriko	geom.	Areo di la grado duesma, t.e. reprezentata da equaciono di la grado duesma			Germana,Angla,Franca,Italiana,Hispana	DEFIS	474	49	481	
