vedetto	fako	senci	nomi_latina	simbolo_kemiala	lingui	kodo	pagino	ligno	imago	drapeli
adoptar	trans.	(ulu) Prenar legale kom filio. (anke metafore) ¶ Igar sua la judiko-maniero o la ago-maniero di altru			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	7	19	14	
adorar	trans.	Honorizar quale se lu esus deo			Angla,Franca,Italiana,Hispana	EFIS	7	23	14	
adosar	trans., an ulo	Apogar per la dorso			Franca,Italiana,Hispana	FIS	7	25	14	
adraganto	bot.	Gumo qua defluas, forme di paceti vermatra, de tragakanto	Astragalus		Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	7	27	14	
adreso		Domicilo di persono o di organismo ¶ Surskriburo di letro-kuverto, e c., qua indikas ube habitas, ube lojas la destinario			Germana,Angla,Franca,Rusa,Hispana	DEFRS	7	30	14	
adsorbar	trans.	Koncentrar, sur sua surfaco, substanci dissolvita			Germana,Angla,Franca,Italiana	DEFI	7	34	14	
adulta		Qua atingis la fino di sua kresko. (dicesas precipue pri la homo qua evas plu kam 20 yari)			Angla,Franca,Italiana,Hispana	EFIS	7	37	14	
adulterar	netrans., kun	Violacar sua promiso solena di fideleso sexuala a sua spozo			Angla,Franca,Italiana,Hispana	EFIS	7	40	14	
adurolo	kemio	Revelilo fotografala, ek klorhidoquinono					7	43	14	sen-lingua
advento	religio katolika	La quar semani qui preiras la Kristo-nasko – tempo determinita da la Eklezio katolika, dum qua la religiani devas preparar su pri la arivo di Yesu-Kristo			Germana,Angla,Franca,Italiana,Hispana	DEFIS	7	45	14	
adventiva		Qua devenas de ago acidenta ¶ (biol.) Planto adventiva : Quan la homo ne semis					7	50	14	sen-lingua
adverbo	gram.	Vorto-speco nevariiva qua modifikas la senco di adjektivo, di verbo, di adverbo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	7	53	14	
adversa		Kontrea. (en lukto) La persono qua opozesas ad altra			Angla,Franca,Italiana,Hispana	EFIS	8	3	15	
advokato		La homo di qua la profesiono konsistas ye pledar por la personi qui procesas koram tribunalo			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	6	15	
adyunto		Qua juntesas ad ulu kom lua helpanto			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	9	15	
aero		Fluido gasa, diafana, ek oxo, azoto e kelka gasi skarsa, difuzita en omna regioni di Tero, utila por respiro e kombusto			Germana,Angla,Franca,Italiana,Hispana	DEFIS	8	11	15	
aerenkimo	biol.	Tisuo ek lakuni respirala, quan onu renkontras en la organi (precipue la radiki) qui kreskas en slamo					8	15	15	sen-lingua
aerobia	biol.	Qua bezonas la oxo di aero por respirar			Germana,Angla,Franca,Italiana,Hispana	DEFIS	8	19	15	
aerolito	astron.	Maso minerala qua falas adsur la surfaco di Tero, de la regioni superega di atmosfero			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	22	15	
aerometro		Instrumento per qua onu povas mezurar la denseso-grado di aero, di gasi			Germana,Angla,Franca,Italiana,Rusa,Hispana	DEFIRS	8	25	15	
